idtwitter,subj,pos,neg,iro,top,TEXT
1.92E+17,1,0,1,0,1,"#Grillo al prossimo #Governo?! Volta buona che impacchetto tutto e vado via. Di #AntiPolitica non si vive,non giova a nessuno @Ale_Onorato"
1.94E+17,1,0,1,0,1,#Grillo anche a #inonda ... Bastaaaa !!!
1.96E+17,1,0,1,0,1,#Grillo ancora deve diventare politico e già ha preso il più brutto dei difetti. . . Non rispondere #serviziopubblico
1.94E+17,1,0,1,0,1,#Grillo attacca l'Euro. Beh è chiaro che punta a rubare elettori alla #Lega. Strategie da politicante per l'antipolitico
1.90E+17,1,0,1,0,1,"#Grillo avverte: ""Dopo la #Lega colpiranno noi e l'#Idv di Di Pietro"" - Mi sembra molto uno che mette le mani avanti!!!"
1.93E+17,1,0,1,0,1,"#Grillo ce l'ha molto con la casta, ma intanto s'è fatto un partito per avere un posto a tavola."
1.92E+17,1,0,1,0,1,"#Grillo cerca in ogni modo di catturare il consenso dei #leghisti, anche a costo di strizzare l'occhio agli #evasori. @NichiVendola"
1.92E+17,1,0,1,0,1,#Grillo che propone di alzare i salari con i miliardi della TAV... Sempre più preoccupante!
1.93E+17,1,0,1,0,1,#Grillo chiede di uscire dall'euro con il minor danno possibile..... ok l'ombrello lo apriranno dopo la penetrazione
1.93E+17,1,0,1,0,1,#Grillo con la boiata sull'uscita dall'euro ha dimostrato tutti i suoi limiti. E la sua strategia elettorale. #elezioni
1.90E+17,1,0,1,0,1,"#Grillo contro tutti. Toh, che novità. Non l'ho già sentita una headline simile? Il vecchio che ""avanza""..."
1.92E+17,1,0,1,0,1,#Grillo critica #Vendola dopo averlo aiutato a vincere in #Puglia! #dachepulpito #sapevatelo #m5s #behchenepensi
1.93E+17,1,0,1,0,1,"#Grillo da quando ha iniziato a fare il politico ha triplicato il suo stipendio, mica gli conviene smettere di sparare cazzate..."
1.92E+17,1,0,1,0,1,"#Grillo dice peste e corna di tutti ma non si capisce che cosa vuole fare lui.Deve dire xche' di candida, per fare cosa e con chi."
1.93E+17,1,0,1,0,1,"#Grillo difensore dei leghisti non si puo' sentire, all'opposizione della demoplutocrazia e del S.I.M #serviziopubblico @danpertici"
1.92E+17,1,0,1,0,1,#Grillo è la diossina prodotta dalla cattiva #politica che brucia come immondizia. Urgente spegnere incendio prima che avveleni tutti.
1.92E+17,1,0,1,0,1,"#Grillo è l'ennesimo disastro della #politica degli ultimi 20 anni. Bravi, era davvero difficile fare peggio di così."
1.93E+17,1,0,1,0,1,"#Grillo è populismo, non si può non sostenere. Il problema è che forse è proprio lui a fare da cono d'ombra sul movimento."
1.93E+17,1,0,1,0,1,#Grillo è tanto severo contro tutti quanto clemente e comprensivo con lega e leghisti.. #serviziopubblico
1.96E+17,1,0,1,0,1,#Grillo è un altro che è andato fuori di testa. Del tutto.
1.92E+17,1,0,1,0,1,#Grillo è un populista ma è preoccupante il disperato tentativo della Sinistra di cercare a tutti i costi un nuovo Berlusconi #sapevatelo
1.95E+17,1,0,1,0,1,"#Grillo è violento e forcaiolo. Parola di #Maroni, neo leader del partito più violento, xenofobo e forcaiolo d'Italia http://bit.ly/IdTOt5 "
1.92E+17,1,0,1,1,1,#Grillo entrerà in Parlamento. #Bertinotti debutterà a teatro. #Berlusconi girerà un film. Solo io e #Bersani non abbiamo un cazzo da fare!
1.92E+17,1,0,1,0,1,#Grillo esalta la democrazia di internet con la stessa foga con cui dieci anni fa spaccava un computer per opporsi alla nuova schiavitù. mha
1.93E+17,1,0,1,0,1,"#Grillo esaltato dai sondaggi minaccia tutti i politici: ""Li porteremo a Norimberga"" http://bit.ly/HP1zdu  pic.twitter.com/PLEPTwbv BUFFONE!!!"
1.96E+17,1,0,1,0,1,#Grillo esiste per colpa vostra... e anche per questo dovete andare tutti a casa !! #nonèpopulismo
1.92E+17,1,0,1,1,1,"#Grillo fa i comizi sulle cassette della frutta,mentre alcune del #Pdl li fanno senza cassetta...solo sulle banane. #ballarò @Italialand"
1.93E+17,1,0,1,0,1,#Grillo gioca sulla debolezza sociale. Fare attenzione #Piazzapulita
1.93E+17,1,0,1,0,1,"#Grillo guadagna consensi e il Pd cosa fa? manda Renzi? fosse stato un film di Pieraccioni, poteva anche starci... #serviziopubblico"
1.96E+17,1,0,1,0,1,#Grillo guardate la sua strategia comunicativa. Punto 1) il nemico 2) insulti e urla x coinvolgimento emotivo 3) fare la vittima
1.93E+17,1,0,1,0,1,#Grillo ha rotto con la sua presunzione di essere il migliore di tutti. E' solo una vanna marchi che al posto dei legnetti vende battutine
1.91E+17,1,0,1,0,1,#Grillo in parlamento sarebbe la morte più triste della politica seria. I buffoni di solito si esibiscono al circo.
1.92E+17,1,0,1,1,1,"#Grillo lo voto solo questa volta, tanto non può fare più di tanti danni. #erroredrammatico"
1.93E+17,1,0,1,0,1,"#Grillo Mi fa paura la gente che urla. Ne abbiamo già visti almeno un paio, ed è finita com'è finita. Niente urla per me, grazie."
1.96E+17,1,0,1,0,1,"#Grillo non è il vecchio né il nuovo. E' solo un comico. E, l'esperienza dei comici, l'Italia l'ha già registrata #ApriteGliOcchi"
1.93E+17,1,0,1,0,1,#Grillo non è la soluzione ai problemi dell'Italia: #Grillo è un sintomo dei problemi dell'Italia.
1.93E+17,1,0,1,0,1,#Grillo non fa antipolitica... #grillo è l'antipolitica... Della peggior specie...
1.95E+17,1,0,1,1,1,"#Grillo odi i politici e i partiti? Ti prego, raccontami ancora di quando ne hai fondato uno."
1.95E+17,1,0,1,0,1,#Grillo parla come un qualunque leghista della prima ora. Abbiamo già visto come è andata a finire
1.93E+17,1,0,1,0,1,#Grillo parla di una Norimberga dei partiti. Ma come si fa a dargli credito? Possibile che in Italia ci sia spazio solo per i buffoni?
1.94E+17,1,0,1,0,1,#Grillo perchè tutti questi attacchi a #M5S. Gli stiamo così tanto sulle palle? Evviva la democrazia! Venduti!
1.92E+17,1,0,1,0,1,"#Grillo potrebbe far del male a questo paese, dicono. Chi ha governato finora, invece, HA fatto del male a questo paese."
1.92E+17,1,0,1,0,1,"#Grillo potrebbe far del male a questo paese, dicono. Chi ha governato finora, invece, HA fatto del male a questo paese."
1.91E+17,1,0,1,0,1,"#Grillo sarà anche l'essenza dell'antipolitica, ma se è così alto nei sondaggi, #Bersani , bisognerà chiedersi perché!"
1.96E+17,1,0,1,0,1,"#Grillo si permette pure di insultare la #stampa. Ma se sono anni che lo stanno pompando, manco fosse il salvatore della patria!"
1.93E+17,1,0,1,0,1,#Grillo soluzione alla crisi: uscire dall'Europa e non pagare il debito pubblico! Solo da un comico poteva essere proposta 'sta caxxata
1.93E+17,1,0,1,0,1,"#Grillo stasera non vuole andare a fare il confronto in tv con gli altri, preferisce farsi intervistare. Sembra #Berlusconi"
1.92E+17,1,0,1,0,1,"#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla."
1.89E+17,1,0,1,1,0,"#ItalianDirectionersProtested, mi unisco alla protesta solo se danno delle lamette gratuite per tagliarsi le vene"
1.93E+17,1,0,1,0,1,"#Italiani, date retta a #Grillo e faremo la fine della #grecia #crisi http://tg24.sky.it/tg24/politica/2012/04/18/monti_def_cdm_crisi_suicidi_grecia_crescita_disoccupazione.html … via @SkyTg24"
1.44E+17,1,0,1,1,1,#lapo va in giro con una Jeep e il #governo #monti dovrebbe usare #fiat?
1.94E+17,1,0,1,0,1,#Legaladrona vuol far pulizia ed entra #Bossi? Tutto come nulla fosse? Ma che presa x il culo! #Vergogna! #Grillo #M5S
1.47E+17,1,0,1,0,1,#Liberalizzazioni ? #governo #Monti non pervenuto! Dalla padella alla brace
1.47E+17,1,0,1,1,1,"#liberalizzazioni il PROFESSOR Monti si recò dal PRESIDENTE Monti, per ricordargli i suoi insegnamenti dimenticati.. http://youtu.be/t27Me7rG63w "
1.41E+17,1,0,1,1,1,"#lista, lunga vita al governo Monti, che ci traghetti fuori dalla crisi con tutta banca intesa al MSE, ma un sottosegretario under 50 no?"
1.93E+17,1,0,1,0,1,"#Luttwak: ""Il peggior danno che potremmo fare a #Grillo è quello di nominarlo Presidente del Consiglio...si dimetterebbe il giorno dopo!"""
1.35E+17,1,0,1,0,1,#maipiù #finecorsa B. detta ancora condizioni al Governo Monti: negli ultimi 10 anni ha portato il paese allo sfascio e parla ancora. Schifo
1.47E+17,1,0,1,0,1,#manovra: anche il governo Monti nella morsa delle lobby! in questo paese i privilegi non si toccano :( e la povera gente paga! #FB
1.59E+17,1,0,1,0,1,#Maroni La politica del governo Monti è sbagliata
1.39E+17,1,0,1,1,1,#Maroni: «Con il governo #Monti si vuole marginalizzare la #Lega».Dov'è il problema?
1.61E+17,1,0,1,0,1,"#Mauro ha ragione sulla #Lega. se sono stanchi di #Formigoni devono cacciarlo e basta, non solo se cade il governo #Monti. opportunisti"
1.65E+17,1,0,1,1,1,"#monotonia sono i #tagli, le #privatizzazioni, gli attacchi ai #diritti del #governo #monti allora #sMONTIamoli http://www.repubblica.it/politica/2012/02/01/news/monti_spread_scender_ancora-29171588/ …"
1.56E+17,1,0,1,1,1,#monti #chetempochefa L'atteggiamento 'mentale' del governo Monti? Nessun tabù! (Aiiuutooo)
1.95E+17,1,0,1,1,0,#Monti ha detto ke dobbiamo cambiare stile di vita... ANCORA? una regolatina a politici e pubblici amministratori no eh? #SiamoAlleSolite
1.45E+17,1,0,1,0,1,#monti Ma che manovra ha fatto il professor Monti se adesso ci si accorge che i capitali scudati sara' difficile individuarli? Bocciato!!!!
1.48E+17,1,0,1,0,1,#montirubalire ladri!!! Il governo Monti attua un decreto per rubare soldi agli italiani http://www.bancaditalia.it/bancomonete/cambiolire …
3.92E+17,1,0,1,0,0,"#Motogp ahia, seconda scivolata del weekend per Marquez. Dai, sta calmo!"
1.92E+17,1,0,1,0,1,"#MoVimento #5 #Stelle nei #sondaggi oltre il 7,2%. #Beppe #Grillo è un fenomeno del #populismo e non offre una prospettiva all'#Italia."
1.92E+17,1,0,1,0,1,"#movimento5stelle di #Grillo al 7,2%? che c'è di strano? in #italia la #politica perde credibilità e l'antipolitica avanza di qualnquismo"
1.95E+17,1,0,1,0,1,"#Mussi (#Sel), “#Grillo è uno che farebbe bene a spararsi nei coglioni” : http://wp.me/p27N3t-1cN  via @wordpressdotcom"
1.95E+17,1,0,1,0,1,"#Mussi (Sel) a La Zanzara: ""#Grillo farebbe bene a spararsi nei coglioni"" - Videohttp://tv.ilfattoquotidiano.it/2012/04/24/mussi-sel-grillo-farebbe-bene-spararsi/195593/ …"
1.35E+17,1,0,1,0,1,#Occupiamoiltesoro Il governo Monti ci fa schifo. Default selettivo. Welfare universale. Più risorse alla cultura http://yfrog.com/hspyaljxj 
1.93E+17,1,0,1,1,1,#Partito della Nazione l'ideona dei partiti per disinnescare #Grillo e continuare a prendere per culo gli italiani. Adesso siamo salvi!
1.42E+17,1,0,1,1,1,#Passera dice che potrebbero pagarmi in #Bot ..ma dal salumiere me li accettano? #finanzacreativa #crisis #sviluppoeconomico #governo #monti
1.37E+17,1,0,1,1,1,#Passera per il governo Monti. Non è che berlusca ci ripensa? #ministri #oramonti
3.97E+17,1,0,1,0,0,#PattyScanuVerissimo ce tocca sorbirci tutto
1.93E+17,1,0,1,0,1,#piazzapulita #Grillo è peggio dei vecchietti che incontri sul bus che si lamentano e hanno una soluzione per tutto
1.40E+17,1,0,1,1,1,#piazzapulita che bello vedere repubblica e corriere che si scannano su chi difende troppo e chi il giusto il governo #monti #buuuu
1.93E+17,1,0,1,0,1,"#piazzapulita con il comizio di #Grillo alla conquista dell'ex feudo leghista Da Bossi a Grillo ,solo comici che non fanno ridere"
1.93E+17,1,0,1,0,1,"#piazzapulita Ecco, quando #Grillo giustifica gli evasori fiscali, si mette sullo stesso piano della rumenta. Intanto, le tasse le paghino!"
1.93E+17,1,0,1,0,1,#piazzapulita tutti a sparare sul comico #Grillo ma i pagliacci che ci stanno governando sono più affidabili?
1.93E+17,1,0,1,0,1,"#piazzapulita, ma #Grillo attacca le televisioni con una sequenza di chiacchiere.Lui,che è #Grillo grazie alle TV.Ma vada a quel Paese"
1.95E+17,1,0,1,1,0,"#portaaporta anche il plastico del Senato!!! Con #Vespa si potrebbe giocare al ""ce l'ho"" ""manca"", mi sa che punteggio è scontato."
1.65E+17,1,0,1,0,1,#Postofisso che #monotonia: Twitter attacca Mario Monti - TweetBlog http://tweetblog.blogosfere.it/2012/02/-lintervento-di-ieri-del.html … via @blogosfere
1.47E+17,1,0,1,0,1,#rassegnastampa #urbino Corriere adriatico: Gli studenti di Urbino oggi tornano in piazza contro il governo Monti
1.57E+17,1,0,1,0,1,#Referendum: non è in pericolo solo quello #elettorale. Il governo #Monti vuole aggirare quello sull' #acqua. http://www.ilmanifesto.it/attualita/notizie/mricN/6234/ …
1.93E+17,1,0,1,0,1,"#Renzi «#Grillo come Savonarola?Ne ha di strada da fare» http://ow.ly/anJzQ  Intanto lui l'è ""bugiardino storico"" però :)..."
1.54E+17,1,0,1,1,1,#repressione del governo #Monti #depressione post vacanze per gli italiani #cercasi ottimismo
1.35E+17,1,0,1,1,1,"#rimontiamo Governo #Monti fatto di soli ""tecnici"". Amato agli Esteri...cos'è che non mi torna? #settevitecomeigatti"
1.37E+17,1,0,1,0,1,"#Scilipoti arriva in #Aula con il lutto al braccio: ""è morta la democrazia"". #opencamera #governo #monti #oramonti #rimontiamo"
1.37E+17,1,0,1,1,1,#Scilipoti dice che non vota la fiducia al governo Monti. Lo #Spread non trova pace. E anche io non mi sento tanto bene.
1.44E+17,1,0,1,1,1,#Scilipoti sta manifestanto davanti alla Camera contro il limite di utlizzo dei contanti deciso dal governo Monti. Non è uno scherzo. Giuro
1.37E+17,1,0,1,0,1,#scrittorincitta Nesi: il governo #Monti non deve pensare al problema italiano come a semplice scontro tra masse finanziarie
1.45E+17,1,0,1,1,1,#serviziopubblico C'è chi piange per il governo #Monti e c'è chi ride: le banche
1.93E+17,1,0,1,1,1,#serviziopubblico Grazie a #Renzi e #Grillo sono arrivato al record di ascolto di trasm. politiche negli ultimi tempi... ben 7' di dialoghi!
1.93E+17,1,0,1,0,1,"#serviziopubblico l'antipolitica e il populismo di #Grillo sono figli della cattiva politica dei partiti, non meravigliamoci !!!!!"
1.37E+17,1,0,1,0,1,"#spread Sono giorni duri. In attesa del governo #Monti niente ansiolitici, ma un video (Giovenzana @NuovaFotografia) http://www.youtube.com/watch?v=LfPoCAVa6ko&feature=share …"
1.37E+17,1,0,1,0,1,#Studenti in #corteo a #Pisa contro la crisi. Slogan contro il governo Monti http://bit.ly/sHwWF7 
1.91E+17,1,0,1,0,0,#terremotopistoia Porca troia che botta!!! mi tremano ancora l'orecchie!
1.93E+17,1,0,1,1,1,#ultimaparola #Grillo come #Gesù ? A quanto pare dice solo #verità
1.58E+17,1,0,1,0,1,"#ultimaparola Pensare che il Governo Monti,voluto e sorretto da PD e PDL, sia diverso, è pura demagogia"
3.93E+17,1,0,1,1,0,#XF7 MANDATE :) LA :) VENTURA :) IN :) TOUR :) CON :) I :) RAGAZZI :).... Si ma.. SOTTO :) AL :) LORO :) BUS. :)
1.45E+17,1,0,1,0,1,(ANSA)-La Scala-Giorgio Napolitano e Mario Monti vedere la prima del Don Giovanni. MENTRE LORO SE LA SPASSANO NOI PAGHIAMO!!!
1.47E+17,1,0,1,0,1,(photo) #monti NO AL MASSACRO SOCIALE !!!!!!!LA MANOVRA DECISA DAL GOVERNO MONTI E' UN INTOLLERABILE CONCENTRATO... http://fb.me/1e5YuX5ZI 
1.92E+17,1,0,1,1,1,"(Siete divertenti)Fino a ieri #Grillo e il #M5S non l'avete c..o, ora fa paura, e tutti addosso."
3.92E+17,1,0,1,0,0,. questo papa perchè non rinuncia l'8permille dello stato italiano con i cittadini che si suicidano per le tasse?
1.61E+17,1,0,1,1,1,...il progetto di Mario Monti sui giovani è simile a quello di Erode a Betlemme...
1.93E+17,1,0,1,0,1,"...ma siamo veramente sicuri di poter dare fiducia al "" marchese del #Grillo ""? La Politica sara' anche poco credibile,ma lui e' tutto fumo."
1.54E+17,1,0,1,1,1,..ma al primo posto mario monti x aver inculato 56 milioni di italiani....
1.56E+17,1,0,1,0,1,.: La bugia del Governo Monti http://www.giuliocavalli.net/2012/01/08/la-bugia-del-governo-monti/ …
3.97E+17,1,0,1,0,0,.@DebbyCruise e mi interrogo sul perché mi diano sempre ruoli da 'cattivo'
3.96E+17,1,0,1,0,0,".@Tommaso soprattutto, da utente, stare a ciarlare nel vuoto cosmico non mi dà una bella sensazione."
1.46E+17,1,0,1,1,1,": abbiamo voluto la bicicletta (il Governo Monti), ed ora si deve pedalare..."
1.46E+17,1,0,1,0,1,@_andrea75_ @Gosling76 visto che chi ha i soldi evade io con il gasolio diventerò 1 dei più grandi finanziatori del governo monti #maledetti
1.91E+17,1,0,1,0,0,"@_BlackBarry93_ Sono stata K.O per 4 giorni ma andando lo stesso a scuola, il cibo non l'ho toccato per niente...Infatti ho perso dei kg!"
3.93E+17,1,0,1,0,0,"@_cassje_ solo pane e acqua per Zeta no ti prego, non voglio averlo sulla coscienza magro per com'è già adesso!"
3.92E+17,1,0,1,0,0,"@_DAGOSPIA_ a parte il fatto che si studia perché non è facile trovare lavoro, ci dicono pure che il livello culturale è basso, e allora?"
3.92E+17,1,0,1,0,0,@_Esse__ ok che sono in culo al mando ma io non riesco proprio a vederla..e pensare che al palazzetto c'è il mio posto libero....
1.87E+17,1,0,1,0,0,@85mat ah ecco: alla faccia della riservatezza..
1.46E+17,1,0,1,1,1,@agorarai Il Governo #Monti ha una grandissima popolarità? Ditegli di venire su #Twitter ...
3.92E+17,1,0,1,0,0,@albertotanas minchiate di questi mesi a difendere ciò che era palese....!!!
3.96E+17,1,0,1,0,0,"@alex_isaia Eh, ma i salernitani sono campioni nel lamentarsi!"
1.93E+17,1,0,1,0,1,"@Alexios93 non si sentiva da anni! da quando si era fatto la villa in Sardegna, frutto di show da 35€ a persona! #Grillo venditore di fumo"
1.92E+17,1,0,1,0,1,"@alinomilan #Grillo è peggio populismo in circolazione. #Napolitano fa bene, ma difende sistema di cui è a capo e di ed in cui ha vissuto."
1.95E+17,1,0,1,0,0,"@AmbraTavoletti cattiva, cattivissima! Fischia se ti serve un po' di forza bruta!"
1.65E+17,1,0,1,1,1,"@andreapoggioli Dalle mie parti ho visto un cartello: Monte Mario sì, Mario Monti no. #trailetueconclusioni."
1.91E+17,1,0,1,0,0,@AndreLovesBrit si ahahahah sta puttana che ne ha detto gli ha detto di tutto poi siamo uscite e io mammina sei arrabbiata ? lol lei:
3.92E+17,1,0,1,1,0,"@angelacasciaro @m_giul Diritto? In Italia? Ah, ho capito... Sei maestro di tennis!"
1.44E+17,1,0,1,1,1,@ANNOZERO_ PERCHE' MARIO MONTI VA' DA VESPA?VA A FIRMARE?
1.44E+17,1,0,1,1,1,"@AntonellaCik Staresti bene nel governo Monti,allora:)P.s.:loro invece hanno bisogno delle nostre chiappe,visti gli aumenti- specie benzina"
1.92E+17,1,0,1,0,0,@antoniocorsa l'Italia è la culla dell'ipocrisia
3.93E+17,1,0,1,0,0,"@AntonioSanson23 @dileguossi Antonio,se quando si va' al voto,il popolo italiano si dimostra cacasotto,questo cambiamento non avverra' mai"
3.95E+17,1,0,1,0,0,@AriannaCapulli pure i mariti si mettono a flirtare su whatsapp con quelle rimorchiate su tw
3.96E+17,1,0,1,0,0,@ashtongagdr Vergogna.
1.93E+17,1,0,1,0,1,"@astrobella Per quanto mi riguarda appoggio in pieno le parole di un altro utente: ""#Grillo non è una soluzione, ma il prossimo problema""."
3.92E+17,1,0,1,0,0,@austinlosagdr mi manchi.
3.97E+17,1,0,1,1,0,@BalottiR avevi bisogno di un toy boy?!?
1.35E+17,1,0,1,1,1,@bartezzaghi Mario Monti super partes = martirio o superman pesta
1.52E+17,1,0,1,1,1,"@beppesevergnini quando penso al governo Monti mi viene in mente Longanesi e il suo ""Ci salveranno le vecchie zie"" è il caso di rileggerlo?"
1.95E+17,1,0,1,1,1,"@BerserkNina @italiadeidolori nulla di più sinistro... Se #Grillo è l alternativa, i nostri politici possono dormire tranquilli. W l Italia."
3.93E+17,1,0,1,0,0,"@bettyinter @Hakflak strano mondo in cui bisogna dire ""evviva"" perché un uomo confessa di preferire ancora le donne agli uomini :("
1.54E+17,1,0,1,1,1,@BlitzQuotidiano Continua così #Super #Mario #Monti ! A breve lavoreremo solo per risanare il PIL! A pranzo e cena veniamo a casa vostra!
1.89E+17,1,0,1,0,0,@bluejeanss_ eh lo so cc a noi no fanno nemmeno fare la tesina! Al massimo la mappa cc
1.61E+17,1,0,1,0,1,@bobsecci @BeppeGiulietti @ginevra5 Per Marco Rizzo al Tg4 il governo Monti è peggio di quello di Berlusconi!
1.93E+17,1,0,1,1,1,"@CarloMarulli #Grillo è geniale, ha iniziato facendo la vittima con comizi a pagamento, ora ha messo su un franchising che va ancora meglio."
1.94E+17,1,0,1,0,1,"@CarloMarulli In comune noto anche una certa visione funesta del futuro,stile Cormac McCarthy, dal quale solo #Grillo può salvarci, ahinoi !"
1.93E+17,1,0,1,0,1,@CatelliRossella dopo #piazzapulita #serviziopubblico trovo la parola giusta x definire #Grillo ..guru..piacciono i sermoni
1.92E+17,1,0,1,0,0,"@cates86 no lo so che non è facile, altrimenti credi che stavo ancora qui a lavorare per farmi portare via tutto?"
1.49E+17,1,0,1,0,1,@CentrellaUGL MI permetta: il lavoro in fabbrica credo sia TECNICA APPLICATA. Tra il dire e il fare si combina i danni del Professor Monti
1.54E+17,1,0,1,1,1,"@CesareOrtis aggiungo: multe a tutto spiano!!! Andremo a pile, a meno che #Super #Mario #Monti non decida di tassare anche quelle!!!"
1.42E+17,1,0,1,0,1,@chedisagio anche perché purtroppo l'interruttore in parlamento sul #governo #Monti ce l'ha il #parlamento
1.92E+17,1,0,1,0,1,@chedisagio triste che il nostro Paese si aggrappi ai comici. Ancora più triste che la sinistra italiana li tema #Grillo #Pd #news #politica
1.93E+17,1,0,1,0,1,"@chiarelettere #Grillo è una papula cutanea del sarcoma chiamato politica italiana, non è anti-politica ma un sintomo della stessa."
1.35E+17,1,0,1,1,1,"@CiccioRatti @troppouncapo @MichiamoMita @daywaster ""Trota, Mario Monti?"", ""Nono, per me una capricciosa!"""
1.46E+17,1,0,1,1,1,@CieloCamillo il mio albero avverte la crisi...Mario Monti grazie x questo natale stupendo
1.89E+17,1,0,1,1,0,@ClaudioCorti71 E noi a Milano con un vento che porta via... vedo che lavori molto!!! XD
3.96E+17,1,0,1,0,0,@clizia72ita @Desynina3 concordo.....Purtroppo è un animale a rischio d'estinzione. ...e la cosa mi deprime molto
3.96E+17,1,0,1,0,0,@ColombaMongiell @DarioGinefra @pdpuglia solo assenza di competenza politica pu' indurre a proporre infrazioni x neoiscritti mercenari!
1.91E+17,1,0,1,0,0,"@criamayne No, anche a me mancano, tantissimo."
1.44E+17,1,0,1,0,1,"@Daniele_Manca:Non sarà facile per i ministri del governo Monti spiegare una Manovra fatta perpagareglistipendi,perché di questo si tratta"
